 Container task-queue-redis-1 Running 
 Container task-queue-producer-run-565935f6a08d Creating 
 Container task-queue-producer-run-565935f6a08d Created 
Connected to Redis!
worker-2  | Connected to Redis!
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778149258944] Processed Task 27 (Type: UPLOAD)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778140866240] Processed Task 2 (Type: CONVERT)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778166044352] Processed Task 28 (Type: EMAIL)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778157651648] Processed Task 4 (Type: EMAIL)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778149258944] Task 37 finished in 26ms
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778132473536] Task 36 finished in 27ms
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778157651648] Task 40 finished in 28ms
worker-1  | [2026-02-20 19:07:52] [Error] [Thread 139778166044352] Processing task 39 failed, retry #1
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778132473536] Processed Task 36 (Type: UPLOAD)
worker-1  | [2026-02-20 19:07:52] [Error] [Thread 139778140866240] Processing task 38 failed, retry #1
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778149258944] Processed Task 37 (Type: EMAIL)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778157651648] Processed Task 40 (Type: EMAIL)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778166044352] Task 50 finished in 37ms
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778149258944] Task 54 finished in 36ms
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778140866240] Task 53 finished in 36ms
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778132473536] Task 51 finished in 37ms
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778157651648] Task 55 finished in 37ms
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778166044352] Processed Task 50 (Type: CONVERT)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778149258944] Processed Task 54 (Type: UPLOAD)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778132473536] Processed Task 51 (Type: UPLOAD)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778140866240] Processed Task 53 (Type: CONVERT)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778157651648] Processed Task 55 (Type: EMAIL)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778149258944] Task 21 finished in 69ms
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778166044352] Task 63 finished in 47ms
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778140866240] Task 66 finished in 45ms
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778157651648] Task 26 finished in 68ms
worker-1  | [2026-02-20 19:07:52] [Error] [Thread 139778132473536] Processing task 65 failed, retry #1
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778140866240] Processed Task 66 (Type: UPLOAD)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778166044352] Processed Task 63 (Type: UPLOAD)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778149258944] Processed Task 21 (Type: UPLOAD)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778157651648] Processed Task 26 (Type: CONVERT)
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778140866240] Task 78 finished in 54ms
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778149258944] Task 80 finished in 54ms
worker-1  | [2026-02-20 19:07:52] [Error] [Thread 139778132473536] Processing task 77 failed, retry #1
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735781127872] Task 8 finished in 41ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735806305984] Task 30 finished in 26ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735789520576] Processed Task 7 (Type: EMAIL)
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735781127872] Processed Task 8 (Type: CONVERT)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663612311232] Task 48 finished in 36ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663704479424] Task 47 finished in 36ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663696086720] Processed Task 45 (Type: UPLOAD)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663712872128] Task 52 finished in 36ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663704479424] Processed Task 47 (Type: CONVERT)
worker-2  | [2026-02-20 19:07:52] [Error] [Thread 139663721264832] Processing task 49 failed, retry #1
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663612311232] Processed Task 48 (Type: UPLOAD)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663712872128] Processed Task 52 (Type: EMAIL)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663721264832] Task 61 finished in 46ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735806305984] Processed Task 30 (Type: UPLOAD)
worker-2  | [2026-02-20 19:07:52] [Error] [Thread 139663696086720] Processing task 59 failed, retry #1
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663704479424] Task 18 finished in 68ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735772735168] Task 32 finished in 27ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735772735168] Processed Task 32 (Type: CONVERT)
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735797913280] Task 41 finished in 30ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735789520576] Task 42 finished in 31ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663612311232] Task 62 finished in 45ms
